GpuName,SeqLen,HeadDim,Run,Range,Action,dram__cycles_active.avg,gpu__time_duration.sum,lts__cycles_active.avg,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
h10080gbhbm3,256,64,0,0,flash_fwd_kernel,128.0,11456.0,3697.4625,194.06060606060606,17949.303030303032,30976.0,21.151515151515152,120.96969696969697,199.63636363636363,73.62121212121212,126.01515151515152,0.0,186.1818181818182,186.1818181818182,133120.0,4096.0,102400.0,0.0,7984.0,13000.0,2792.0,4096.0,0.18300702145943035,2168.0,0.3285347451660991,0.0,3.0,0.0,0.0,1.0,20.145833333333332,0.0,0.7064393939393939,0.0,12.443181818181818,55.13068181818182
h10080gbhbm3,256,64,1,0,flash_fwd_kernel,128.0,11456.0,3691.7,194.37121212121212,17939.10606060606,30976.0,21.151515151515152,120.96969696969697,199.63636363636363,73.62121212121212,126.01515151515152,0.0,186.1818181818182,186.1818181818182,133120.0,4096.0,102400.0,0.0,7984.0,13000.0,2792.0,4096.0,0.18311104654551047,2168.0,0.32863703049288795,0.0,2.0,0.0,0.0,0.0,15.153409090909092,0.0,0.6912878787878788,0.0,11.782196969696969,55.15719696969697
h10080gbhbm3,256,64,2,0,flash_fwd_kernel,128.0,11520.0,3811.6875,195.57575757575756,18077.742424242424,30976.0,21.151515151515152,120.96969696969697,199.63636363636363,73.75757575757575,125.87878787878788,0.0,186.1818181818182,186.1818181818182,133120.0,4096.0,102400.0,0.0,7984.0,13000.0,2792.0,4096.0,0.18170678659761588,2168.0,0.32620055970383804,0.0,2.0,0.0,0.0,1.0,16.28409090909091,0.0,0.7159090909090909,0.0,13.878787878787879,55.13257575757576
h10080gbhbm3,256,64,3,0,flash_fwd_kernel,128.0,11360.0,3580.8625,192.97727272727272,17849.848484848484,30976.0,21.151515151515152,120.96969696969697,199.63636363636363,73.6969696969697,125.93939393939394,0.0,186.1818181818182,186.1818181818182,133120.0,4096.0,102400.0,0.0,7984.0,13000.0,2792.0,4096.0,0.18402668726497978,2168.0,0.33035464183551344,0.0,2.0,0.0,0.0,0.0,14.850378787878787,0.0,0.7291666666666666,0.0,13.159090909090908,55.166666666666664
h10080gbhbm3,256,64,4,0,flash_fwd_kernel,128.0,11584.0,3602.05,196.71212121212122,18146.590909090908,30976.0,21.151515151515152,120.96969696969697,199.63636363636363,73.62121212121212,126.01515151515152,0.0,186.1818181818182,186.1818181818182,133120.0,4096.0,102400.0,0.0,7984.0,13000.0,2792.0,4096.0,0.18101738785563698,2168.0,0.3248794539420127,0.0,2.0,0.0,0.0,2.0,15.543560606060606,0.0,0.7007575757575758,0.0,12.768939393939394,55.14962121212121
h10080gbhbm3,512,64,0,0,flash_fwd_splitkv_combine_kernel,226.0,5888.0,3150.425,2851.340909090909,9295.863636363636,155584.0,19.393939393939394,992.969696969697,978.4242424242424,909.5757575757576,68.84848484848484,0.0,21.333333333333332,21.333333333333332,28672.0,113664.0,10240.0,0.0,65536.0,56064.0,2560.0,1408.0,1.8046475542233673,11072.0,3.2520166186655195,0.0,43.0,0.0,0.0,15.0,649.7083333333334,0.0,0.0,0.0,316.4621212121212,652.9734848484849
h10080gbhbm3,512,64,1,0,flash_fwd_splitkv_combine_kernel,226.2,6240.0,3466.05,2933.0227272727275,9851.015151515152,155584.0,19.393939393939394,992.969696969697,978.4242424242424,909.5757575757576,68.84848484848484,0.0,21.333333333333332,21.333333333333332,28672.0,113664.0,10240.0,0.0,65536.0,56064.0,2560.0,1408.0,1.7029470889786777,11072.0,3.0687500288387444,0.0,39.0,0.0,0.0,23.0,667.1628787878788,0.0,0.0,0.0,327.8787878787879,652.9734848484849
h10080gbhbm3,512,64,2,0,flash_fwd_splitkv_combine_kernel,226.0,6208.0,3329.7875,3032.681818181818,9844.984848484848,155584.0,19.393939393939394,992.969696969697,978.4242424242424,909.5757575757576,68.84848484848484,0.0,21.333333333333332,21.333333333333332,28672.0,113664.0,10240.0,0.0,65536.0,56064.0,2560.0,1408.0,1.7039901872819416,11072.0,3.070629716099106,0.0,43.0,0.0,0.0,22.0,658.5984848484849,0.0,0.0,0.0,312.85227272727275,652.9734848484849
h10080gbhbm3,512,64,3,0,flash_fwd_splitkv_combine_kernel,226.0,5952.0,3234.2875,2891.8560606060605,9411.712121212122,155584.0,19.393939393939394,992.969696969697,978.4242424242424,909.5757575757576,68.84848484848484,0.0,21.333333333333332,21.333333333333332,28672.0,113664.0,10240.0,0.0,65536.0,56064.0,2560.0,1408.0,1.7824342011001766,11072.0,3.2119876427339884,0.0,51.0,0.0,0.0,16.0,643.4488636363636,0.0,0.0,0.0,330.40909090909093,652.9734848484849
h10080gbhbm3,512,64,4,0,flash_fwd_splitkv_combine_kernel,226.0,6144.0,3368.8,2953.530303030303,9693.0,155584.0,19.393939393939394,992.969696969697,978.4242424242424,909.5757575757576,68.84848484848484,0.0,21.333333333333332,21.333333333333332,28672.0,113664.0,10240.0,0.0,65536.0,56064.0,2560.0,1408.0,1.730708508795788,11072.0,3.1187767492317167,0.0,39.0,0.0,0.0,28.0,650.939393939394,0.0,0.0,0.0,321.66477272727275,652.9734848484849
