GpuName,SeqLen,HeadDim,Run,Range,Action,dram__bytes_read.sum,dram__bytes_write.sum,dram__cycles_active.avg,gpu__time_duration.sum,l1tex__cycles_active.avg,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,lts__cycles_active.avg,lts__t_sector_hit_rate.pct,lts__t_sectors.sum,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_aluheavy_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_membar,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
rtxpro6000blackwellserveredition,256,64,0,0,elementwise_kernel,277760.0,0.0,2170.0,3968.0,3680.244680851064,12288.0,2339.875,72.52330142128126,23711.0,14726.0,8207.0,3680.244680851064,7296.329787234043,125952.0,49.02127659574468,609.9893617021277,308.28723404255317,370.3829787234043,639.4787234042553,32.680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,49152.0,27648.0,9216.0,0.0,0.0,0.0,2.2955289383324464,0.0,105.0,0.0,0.0,0.0,14.0,3174.2247340425533,7.49468085106383,3.3922872340425534,10.51063829787234,372.2726063829787,341.53590425531917
rtxpro6000blackwellserveredition,256,64,0,0,vectorized_elementwise_kernel,267264.0,0.0,2088.0,2752.0,569.2021276595744,8192.0,1173.328125,31.506036018207006,15159.0,10152.0,4111.0,569.2021276595744,4954.329787234043,6144.0,6.808510638297872,16.340425531914892,13.617021276595745,24.51063829787234,27.23404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,1280.0,1280.0,0.0,0.0,0.0,0.16491055534917876,0.0,11.0,0.0,0.0,0.0,6.0,330.04920212765956,0.0,0.0,0.0,70.61702127659575,19.06382978723404
rtxpro6000blackwellserveredition,256,64,0,0,Kernel2,356096.0,0.0,2782.0,6752.0,786.4468085106383,16384.0,3791.6875,59.569344099730834,42354.0,33442.0,8208.0,786.4468085106383,12405.91489361702,220992.0,155.5744680851064,433.63829787234044,254.68085106382978,1463.1489361702127,845.531914893617,796.7234042553191,0.0,0.0,0.0,4194304.0,65536.0,0.0,35968.0,136000.0,29248.0,0.0,0.0,0.0,2.3688082897999925,1.0,4.0,0.0,0.0,0.0,9.0,95.92819148936171,2.815159574468085,27.929521276595743,0.0,148.78590425531914,67.5877659574468
rtxpro6000blackwellserveredition,256,64,0,0,splitKreduce_kernel,278528.0,0.0,2176.0,3264.0,468.8723404255319,8192.0,1340.84375,50.36869302676653,17223.0,14456.0,2063.0,468.8723404255319,5933.968085106383,49664.0,24.51063829787234,152.68085106382978,64.63829787234043,119.82978723404256,175.88297872340425,32.12765957446808,0.0,0.0,65536.0,0.0,16384.0,0.0,14336.0,8192.0,4608.0,0.0,0.0,0.0,1.1129576742626746,0.0,8.0,0.0,0.0,0.0,7.0,620.2287234042553,4.223404255319149,114.51063829787235,35.32047872340426,302.1941489361702,195.48537234042553
rtxpro6000blackwellserveredition,256,64,0,0,vectorized_elementwise_kernel,70400.0,0.0,550.0,2656.0,140.61702127659575,2048.0,845.8125,79.65012495537309,5602.0,4196.0,1038.0,140.61702127659575,4782.36170212766,1536.0,1.702127659574468,4.085106382978723,3.404255319148936,6.127659574468085,6.808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,320.0,320.0,0.0,0.0,0.0,0.042710136094069075,0.0,5.0,0.0,0.0,0.0,0.0,83.35239361702128,0.0,0.0,0.0,18.78723404255319,4.76595744680851
rtxpro6000blackwellserveredition,256,64,1,0,unrolled_elementwise_kernel,64256.0,0.0,502.0,5024.0,1026.4148936170213,1024.0,1646.140625,88.52373500260823,15336.0,12888.0,2064.0,1026.4148936170213,9199.287234042553,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.3756072683706994,0.0,24.0,0.0,0.0,0.0,1.0,533.9414893617021,0.9973404255319149,0.0,0.0,60.60239361702128,137.875
rtxpro6000blackwellserveredition,256,64,1,0,unrolled_elementwise_kernel,64256.0,0.0,502.0,5088.0,1017.3829787234042,1024.0,1582.671875,88.49291821682658,15321.0,12882.0,2063.0,1017.3829787234042,9366.553191489362,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.36889975194671853,0.0,27.0,0.0,0.0,0.0,3.0,521.3018617021277,0.9973404255319149,0.0,0.0,60.59175531914894,137.875
rtxpro6000blackwellserveredition,256,64,1,0,unrolled_elementwise_kernel,64000.0,0.0,500.0,5120.0,1036.2340425531916,1024.0,1676.671875,88.61098413113041,15313.0,12882.0,2063.0,1036.2340425531916,9394.851063829787,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.36778860308272077,0.0,21.0,0.0,0.0,0.0,2.0,530.0398936170212,0.9773936170212766,0.0,0.0,60.642287234042556,137.875
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,70656.0,0.0,552.0,2656.0,136.68085106382978,2048.0,655.4375,69.06662572919865,6514.0,4004.0,2062.0,136.68085106382978,4760.54255319149,1856.0,1.702127659574468,1.3617021276595744,0.6808510638297872,11.574468085106384,9.53191489361702,2.723404255319149,0.0,0.0,0.0,0.0,16384.0,0.0,128.0,832.0,320.0,0.0,0.0,0.0,0.051844618104051256,0.0,8.0,0.0,0.0,0.0,1.0,76.71675531914893,0.0,0.0,0.0,18.74468085106383,4.8537234042553195
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,70400.0,0.0,550.0,2848.0,151.10638297872342,2048.0,935.25,68.83713804197947,6527.0,4018.0,2061.0,151.10638297872342,5142.914893617021,1856.0,1.702127659574468,1.3617021276595744,0.6808510638297872,11.574468085106384,9.53191489361702,2.723404255319149,0.0,0.0,0.0,0.0,16384.0,0.0,128.0,832.0,320.0,0.0,0.0,0.0,0.04799000484037118,0.0,1.0,0.0,0.0,0.0,1.0,77.01462765957447,0.0,0.0,0.0,18.74468085106383,4.851063829787234
