,GpuName,SeqLen,HeadDim,Run,Action,Range,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
0,a100-sxm4-40gb,256,64,0,unrolled_elementwise_kernel,0,0.1984420667813208,0.0,0.010826355408948659,,,0.0,0.019848318249739212,,0.0,0.1984420667813208,0.21740674955595027,0.006432377569144888,0.0,0.007555893879162085
1,a100-sxm4-40gb,256,64,0,unrolled_elementwise_kernel,0,0.19927357091241013,0.0,0.010953485718632335,,,0.0,0.020081390484159283,,0.0,0.19927357091241013,0.23346648822880617,0.00650791085079679,0.0,0.007644620241128818
2,a100-sxm4-40gb,256,64,0,unrolled_elementwise_kernel,0,0.20324806368129458,0.0,0.010763035699270318,,,0.0,0.01973223211532892,,0.0,0.20324806368129458,0.20758679566115124,0.006394756757261779,0.0,0.007511701998449078
3,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.06516307729737571,0.0002994390197115092,0.0038927072562496205,,,0.0002994390197115092,0.0008983170591345277,,0.0,0.06516307729737571,0.2287318757515218,0.013870576841199066,0.0,0.001197756078846036
4,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.06283276045987911,0.0003034253881711509,0.003944530046224962,,,0.0003034253881711509,0.0009102761645134527,,0.0,0.06283276045987911,0.28136067322508,0.01405523290269053,0.0,0.0012137015526846031
5,a100-sxm4-40gb,256,64,0,ampere_sgemm_32x32_sliced1x4_tn,0,0.45233624180523685,0.0,0.2902414762714121,,,0.0,0.2295865218174555,,0.0,0.45233624180523685,0.3459657190635451,0.012181118952323515,0.0,0.08502972437398668
6,a100-sxm4-40gb,256,64,0,softmax_warp_forward,0,0.3383676996323342,0.0008674878433100082,0.10670100472713101,,,0.0008674878433100082,0.06766405177818065,,0.0,0.3383676996323342,0.43663136849595907,0.038847867708103896,0.020819708239440203,0.035783873536537836
7,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.25828220287262343,0.0,0.008348590942337886,,,0.0,0.029816396222635308,,0.0,0.25828220287262343,0.30683133237361815,0.052554193629540606,0.0,0.007006853112319297
8,a100-sxm4-40gb,256,64,0,reduce_kernel,0,0.10710844012607365,0.002829141930093671,0.020369821896674432,,,0.002829141930093671,0.0775184888845666,,0.0,0.10710844012607365,0.17681015352515506,0.011135767868904635,0.0,0.01870438561204507
9,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.004018584890120813,0.0,0.00011359957286560601,,,0.0,0.00020447923115809083,,0.0,0.004018584890120813,0.05861780559705096,0.0009508284248851224,0.0,9.9399626257405e-05
10,a100-sxm4-40gb,256,64,0,elementwise_kernel,0,0.5728586595532632,0.009084967513552039,0.07267974010841631,,,0.009084967513552039,0.1362745127032806,,0.0,0.5728586595532632,0.4275978807657161,0.03423897131669925,0.0,0.04293142505641137
11,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.24618473895582327,0.0,0.009346476816356333,,,0.0,0.00700985761226725,,0.0,0.24618473895582327,0.34322973713033955,0.05143209200438116,0.0,0.004235122307411464
12,a100-sxm4-40gb,256,64,0,ampere_sgemm_32x32_sliced1x4_nn,0,0.43953105078210025,0.0,0.27488663158145055,,,0.0,0.2252478190641869,,0.0,0.43953105078210025,0.3869659702672001,0.026591593816367855,0.0,0.08136550636674113
13,a100-sxm4-40gb,256,64,0,splitKreduce_kernel,0,0.15256854045796564,0.004160369232769408,0.04160369232769407,,,0.004160369232769408,0.08112720003900346,,0.0,0.15256854045796564,0.3136765028521281,0.04624835454146556,0.0,0.027172411551525198
14,a100-sxm4-40gb,256,64,0,vectorized_elementwise_kernel,0,0.06316459210587201,0.0,0.0023691638517421678,,,0.0,0.0017768728888066263,,0.0,0.06316459210587201,0.17893699967609086,0.013767988524362593,0.0,0.00107352737032067
15,a100-sxm4-40gb,256,64,0,fmha_cutlassF_f16_aligned_64x64_rf_sm80,0,0.033922787524307524,0.012387383981685058,0.01872699669447981,,,0.012387383981685058,0.02419259720739493,,0.0,0.033922787524307524,0.09316849080170206,0.0046665900519870926,0.001675442071741582,0.008191879700839838
16,a100-sxm4-40gb,256,64,0,flash_fwd_kernel,0,0.016449683685805606,0.016958415448056572,0.013389530165775133,,,0.016958415448056572,0.008321878674461354,,0.0,0.016449683685805606,0.11982317560406074,0.007154331517148866,0.002244009075402017,0.003991189573224252
17,a100-sxm4-40gb,256,64,0,cudnn_generated_fort_native_sdpa_sm80_flash_fprop_wmma_f16_knob_6_128x64x64_4x1x1_kernel0_0,0,0.016099277189883753,0.019500281482944987,0.01421578137404144,,,0.019500281482944987,0.008959846130591424,,0.0,0.016099277189883753,0.1034264151212876,0.006208573506325332,0.002742227083539139,0.004469211240750637
18,a100-sxm4-40gb,256,128,0,unrolled_elementwise_kernel,0,0.38934846051968447,0.0,0.02160312232627372,,,0.0,0.039605724264835156,,0.0,0.38934846051968447,0.2716677019725507,0.00965811464938292,0.0,0.0150771791235452
19,a100-sxm4-40gb,256,128,0,unrolled_elementwise_kernel,0,0.3947564085232544,0.0,0.021480614770719608,,,0.0,0.03938112707965262,,0.0,0.3947564085232544,0.2632691626382745,0.009603345158237731,0.0,0.014991679058731396
20,a100-sxm4-40gb,256,128,0,unrolled_elementwise_kernel,0,0.3847810107622323,0.0,0.021302562964606676,,,0.0,0.039054698768445584,,0.0,0.3847810107622323,0.2974328747364917,0.009523743481637634,0.0,0.014867413735715079
21,a100-sxm4-40gb,256,128,0,vectorized_elementwise_kernel,0,0.128661620288867,0.0005977202575800734,0.007770363348540955,,,0.0005977202575800734,0.0017931607727402204,,0.0,0.128661620288867,0.25565569445287584,0.02675451909202557,0.0,0.002390881030320293
22,a100-sxm4-40gb,256,128,0,vectorized_elementwise_kernel,0,0.12613922281241266,0.0005964029447395397,0.007753238281614016,,,0.0005964029447395397,0.0017892088342186191,,0.0,0.12613922281241266,0.24511287391669,0.02669555493430249,0.0,0.002385611778958158
23,a100-sxm4-40gb,256,128,0,ampere_sgemm_32x32_sliced1x4_tn,0,0.4796150155528469,0.0,0.4260763042957588,,,0.0,0.21089019644336368,,0.0,0.4796150155528469,0.41625173339110033,0.017925666697685912,0.0,0.1009051009371372
24,a100-sxm4-40gb,256,128,0,softmax_warp_forward,0,0.19314776389484198,0.0004878057528797576,0.05708762031495752,,,0.0004878057528797576,0.03706965041185511,,0.0,0.19314776389484198,0.24362265714249842,0.020559936441779843,0.011061712807949799,0.019239856958136584
25,a100-sxm4-40gb,256,128,0,vectorized_elementwise_kernel,0,0.26812379060568176,0.0,0.007671626967138723,,,0.0,0.027398667739781155,,0.0,0.26812379060568176,0.29481330376560444,0.04831583814237033,0.0,0.006438686918848571
