GpuName,SeqLen,HeadDim,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
a100-sxm4-40gb,256,64,0.016449683685805606,0.016958415448056572,0.013389530165775133,,,0.016958415448056572,0.008321878674461354,,0.0,0.016449683685805606,0.11982317560406074,0.007154331517148866,0.002244009075402017,0.003991189573224252
a100-sxm4-40gb,256,128,0.2114213027173519,0.03025941258775483,0.05906458353543273,,,0.03025941258775483,0.07377479704851872,,0.0,0.2114213027173519,0.2349954642343077,0.019773840954555824,0.011885628789090394,0.02264561861639046
a100-sxm4-40gb,512,64,0.2436340838949397,0.05625831139917004,0.08633754152047368,,,0.05625831139917004,0.09168021116901785,,0.0,0.2436340838949397,0.23632885968229478,0.019474030868943476,0.016829409392914118,0.030433181985519694
a100-sxm4-40gb,512,128,0.4612763183835392,0.10887130194775146,0.13544537564928402,,,0.10887130194775146,0.15954744249486003,,0.0,0.4612763183835392,0.3281578237970894,0.05177888735550789,0.025853071701878547,0.052723271224697534
a100-sxm4-40gb,1024,64,0.5860929648815245,0.20285462318882522,0.23862956154072282,,,0.20285462318882522,0.22858918374713846,,0.0,0.5860929648815245,0.34568215776735634,0.04974373580646684,0.044450604600722865,0.082248716394359
a100-sxm4-40gb,1024,128,0.7181456075002275,0.31214472104566415,0.2909543475899884,,,0.31214472104566415,0.3062835539196262,,0.0,0.7181456075002275,0.5030718732663503,0.12603693169309887,0.04929391839334514,0.11147723837115443
a100-sxm4-40gb,2048,64,0.7091164583008969,0.5559936543470669,0.5138463998518787,,,0.5559936543470669,0.42483893908089027,,0.0,0.7091164583008969,0.4798865183279121,0.06671519884869323,0.09641352785480742,0.16961228344617768
a100-sxm4-40gb,2048,128,0.7770833350278123,0.8588976016748503,0.547612289067844,,,0.8588976016748503,0.4893634153542587,,0.0,0.7770833350278123,0.6534768374186549,0.1370639528972747,0.09463489938453802,0.20458411177706404
a100-sxm4-40gb,4096,64,0.7766762121707022,1.1950656999514446,0.9387622477065392,,,1.1950656999514446,0.6746854197841379,,0.0,0.7766762121707022,0.6302270928477396,0.05816018568469529,0.17878764058240154,0.2987394301586657
a100-sxm4-40gb,4096,128,0.8155399311257356,1.5952222124995692,0.7820467801035121,,,1.5952222124995692,0.5732132825583558,,0.0,0.8155399311257356,0.7257894810110903,0.07640111323115457,0.13775155944411174,0.2848232289082509
a100-sxm4-40gb,8192,64,0.874345708986778,1.7421860232205686,1.2654911571484,,,1.7421860232205686,0.8349058011626866,,0.0,0.874345708986778,0.7996540501686327,0.04208299065141621,0.24094739390402034,0.3940284066037016
a100-sxm4-40gb,8192,128,0.8861810136395483,2.0919127098786863,0.9164621543293526,,,2.0919127098786863,0.5916913363173346,,0.0,0.8861810136395483,0.8062218196682757,0.05061069984656909,0.15778223262516192,0.32923964901277847
h10080gbhbm3,256,64,0.011939407231837928,0.011323821863601764,0.012142144927963611,0.004482346154342365,0.007659798773621246,0.011323821863601764,0.0073575352993975,,0.0,0.011939407231837928,0.2192889482152632,0.007785127531226213,0.001997887841820363,0.003586153383968609
h10080gbhbm3,256,128,0.15757838298576285,0.018213718187852803,0.05802818836450148,0.047687641462284554,0.010340546902216924,0.018213718187852803,0.05484303075036959,,0.0,0.15757838298576285,0.3663821474158797,0.019430582980575727,0.009488180780125288,0.018578216858484094
h10080gbhbm3,512,64,0.1815207994365229,0.03460811579481275,0.08174524566217797,0.05651677802275128,0.02522846763942669,0.03460811579481275,0.07048665609348571,,0.0,0.1815207994365229,0.34052866361062034,0.019552490230531395,0.013755630834900258,0.02535920636800283
h10080gbhbm3,512,128,0.38897607290232095,0.06444135020454955,0.13058706861350153,0.09732398974335561,0.03326307887014591,0.06444135020454955,0.1149231132111362,,0.0,0.38897607290232095,0.4484079565081756,0.04996690177817343,0.020290097671457667,0.04246717442636089
h10080gbhbm3,1024,64,0.48563722669289805,0.12384945739670591,0.21867913156217342,0.13159004848400002,0.0870890830781734,0.12384945739670591,0.1743565664630962,,0.0,0.48563722669289805,0.4236133867130177,0.04949344843456827,0.03607650647599307,0.06787063128311324
h10080gbhbm3,1024,128,0.7070994853179408,0.21526487132411215,0.31003643448213986,0.20497660316288485,0.10505983131925493,0.21526487132411215,0.2583178455889346,,0.0,0.7070994853179408,0.58348097062621,0.1410251409210117,0.04497866640446305,0.10352838488482113
h10080gbhbm3,2048,64,0.7412859648974967,0.39338755961412725,0.5801832008244483,0.31331217355053587,0.26687102727391243,0.39338755961412725,0.4365332919589025,,0.0,0.7412859648974967,0.568024855887603,0.1313097535428922,0.09365161903071803,0.17955798674398923
h10080gbhbm3,2048,128,0.7831400318648762,0.6138345833267286,0.6033433763237243,0.3394850354546041,0.26385834086912,0.6138345833267286,0.4564664782816627,,0.0,0.7831400318648762,0.6839245333643656,0.201413080837116,0.09085781159205687,0.20419056757909287
h10080gbhbm3,4096,64,0.8270649383122063,0.9727659768399025,1.0891195085915797,0.46842969414457114,0.6206898144470087,0.9727659768399025,0.7276037249783064,,0.0,0.8270649383122063,0.7243359778437573,0.09406093705831164,0.19471085598011012,0.33174129217652326
h10080gbhbm3,4096,128,0.8654861976251621,1.3094458179611497,0.9287090598700146,0.4089116628528521,0.5197973970171625,1.3094458179611497,0.6146118458371942,,0.0,0.8654861976251621,0.8261763723255715,0.1247802747480157,0.1511062272914649,0.31815630477328205
h10080gbhbm3,8192,64,0.9156114164579899,1.485857674773434,1.4765635203495868,0.5427261407051619,0.933837379644425,1.485857674773434,0.9222939474365398,,0.0,0.9156114164579899,0.8843332828045413,0.045565733086331627,0.2732722807219378,0.44698460985721644
