gpu,gpu_full_name,kernel,seq_len,head_dim,duration_mean_ns,duration_std_ns,duration_median_ns,duration_min_ns,duration_max_ns,kernels_per_iter,data_source,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,static_shared_mem_bytes,dynamic_shared_mem_bytes,memcpy_h2d_bytes,memcpy_h2d_duration_ns,memcpy_d2h_bytes,memcpy_d2h_duration_ns
a100,NVIDIA A100-SXM4-40GB,cudnn,256,64,12489.6,53.040600139495915,12480.0,12448.0,12640.0,1.0,kernel_table,2.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,1966080.0,300800.0,655360.0,73088.0
a100,NVIDIA A100-SXM4-40GB,flash,256,64,14680.0,61.31197187121649,14656.0,14624.0,14848.0,1.0,kernel_table,2.0,1.0,1.0,128.0,1.0,1.0,255.0,0.0,49152.0,1966080.0,300320.0,655360.0,72832.0
a100,NVIDIA A100-SXM4-40GB,math,256,64,66032.0,110.11955225786966,66032.0,65856.0,66272.0,15.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,1966080.0,296448.0,655360.0,75680.0
a100,NVIDIA A100-SXM4-40GB,mea,256,64,20563.2,39.39756872006992,20544.0,20544.0,20704.0,1.0,kernel_table,4.0,1.0,1.0,32.0,4.0,1.0,128.0,0.0,18944.0,1966080.0,297120.0,655360.0,73440.0
a100,NVIDIA A100-SXM4-40GB,cudnn,4096,128,112238.35,79.40122960734232,112240.0,112128.0,112416.0,1.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,203.0,0.0,40960.0,62914560.0,5313632.0,20971520.0,1487808.0
a100,NVIDIA A100-SXM4-40GB,flash,4096,128,87049.6,535.7743437011716,87056.0,85952.0,87904.0,2.0,kernel_table,64.0,3.0,1.0,128.0,1.0,1.0,240.0,0.0,81920.0,62914560.0,5316294.0,20971520.0,1493217.0
a100,NVIDIA A100-SXM4-40GB,math,4096,128,1117888.75,685.0661032261586,1117985.0,1116768.0,1119201.0,14.0,kernel_table,1024.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,62914560.0,5311426.0,20971520.0,1493762.0
a100,NVIDIA A100-SXM4-40GB,mea,4096,128,226497.65,357.33829983128845,226464.0,225984.0,227136.0,1.0,kernel_table,64.0,1.0,1.0,32.0,8.0,1.0,124.0,0.0,52224.0,62914560.0,5316705.0,20971520.0,1493378.0
a100,NVIDIA A100-SXM4-40GB,cudnn,4096,64,121579.25,45.605718708812915,121568.0,121536.0,121728.0,1.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,31457280.0,2763874.0,10485760.0,695776.0
a100,NVIDIA A100-SXM4-40GB,flash,4096,64,57088.0,232.847815671863,57056.0,56800.0,57664.0,2.0,kernel_table,64.0,3.0,1.0,128.0,1.0,1.0,254.0,0.0,73728.0,31457280.0,2767776.0,10485760.0,699392.0
a100,NVIDIA A100-SXM4-40GB,math,4096,64,803413.45,793.511415034134,803505.0,801761.0,805601.0,14.0,kernel_table,512.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,31457280.0,2765760.0,10485760.0,697825.0
a100,NVIDIA A100-SXM4-40GB,mea,4096,64,252256.1,70.4638018305928,252256.0,252096.0,252416.0,1.0,kernel_table,64.0,1.0,1.0,32.0,4.0,1.0,128.0,0.0,18944.0,31457280.0,2769152.0,10485760.0,700064.0
a100,NVIDIA A100-SXM4-40GB,cudnn,512,128,19430.4,39.67021950770469,19424.0,19360.0,19552.0,1.0,kernel_table,8.0,1.0,1.0,128.0,1.0,1.0,203.0,0.0,40960.0,7864320.0,853664.0,2621440.0,165824.0
a100,NVIDIA A100-SXM4-40GB,flash,512,128,18107.2,64.2311614815049,18080.0,18048.0,18304.0,2.0,kernel_table,8.0,4.0,1.0,128.0,1.0,1.0,240.0,0.0,81920.0,7864320.0,852896.0,2621440.0,165216.0
a100,NVIDIA A100-SXM4-40GB,math,512,128,91767.95,185.91012967503806,91776.0,91456.0,92128.0,15.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,7864320.0,851488.0,2621440.0,163264.0
a100,NVIDIA A100-SXM4-40GB,mea,512,128,32380.8,55.81322235343239,32368.0,32320.0,32576.0,1.0,kernel_table,8.0,1.0,1.0,32.0,8.0,1.0,124.0,0.0,52224.0,7864320.0,853152.0,2621440.0,165280.0
a100,NVIDIA A100-SXM4-40GB,cudnn,512,64,20449.6,56.36572306679039,20448.0,20416.0,20672.0,1.0,kernel_table,4.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,3932160.0,473632.0,1310720.0,103488.0
a100,NVIDIA A100-SXM4-40GB,flash,512,64,17409.6,56.36572306679039,17408.0,17312.0,17600.0,2.0,kernel_table,8.0,2.0,1.0,128.0,1.0,1.0,254.0,0.0,73728.0,3932160.0,475072.0,1310720.0,103168.0
a100,NVIDIA A100-SXM4-40GB,math,512,64,84256.05,123.43183714525452,84240.0,84032.0,84609.0,15.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,3932160.0,471680.0,1310720.0,101664.0
a100,NVIDIA A100-SXM4-40GB,mea,512,64,36036.75,46.75453819796815,36032.0,35968.0,36192.0,1.0,kernel_table,8.0,1.0,1.0,32.0,4.0,1.0,128.0,0.0,18944.0,3932160.0,475520.0,1310720.0,103520.0
a100,NVIDIA A100-SXM4-40GB,cudnn,8192,128,377510.5,402.09903205422836,377440.0,376896.0,378241.0,1.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,203.0,0.0,40960.0,125829120.0,18156707.0,41943040.0,3109504.0
a100,NVIDIA A100-SXM4-40GB,flash,8192,128,273736.15,745.0186345249854,273632.5,272640.0,275808.0,2.0,kernel_table,128.0,3.0,1.0,128.0,1.0,1.0,240.0,0.0,81920.0,125829120.0,18079271.0,41943040.0,3109409.0
a100,NVIDIA A100-SXM4-40GB,math,8192,128,4359132.8,2167.7659273522763,4359361.0,4354690.0,4364482.0,14.0,kernel_table,2048.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,125829120.0,18010631.0,41943040.0,3110721.0
a100,NVIDIA A100-SXM4-40GB,mea,8192,128,737929.9,1177.2488401263972,737872.5,736065.0,740033.0,1.0,kernel_table,128.0,1.0,1.0,32.0,8.0,1.0,124.0,0.0,52224.0,125829120.0,18079429.0,41943040.0,3108641.0
a100,NVIDIA A100-SXM4-40GB,cudnn,8192,64,237291.3,55.18590590473547,237280.0,237248.0,237504.0,1.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,62914560.0,5309060.0,20971520.0,1487872.0
a100,NVIDIA A100-SXM4-40GB,flash,8192,64,164091.25,450.88904866998746,163984.0,163360.0,164960.0,2.0,kernel_table,128.0,3.0,1.0,128.0,1.0,1.0,254.0,0.0,73728.0,62914560.0,5313728.0,20971520.0,1492929.0
a100,NVIDIA A100-SXM4-40GB,math,8192,64,3097987.25,1788.1308051470367,3097586.0,3094434.0,3101665.0,15.0,kernel_table,1024.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,62914560.0,5312801.0,20971520.0,1493280.0
a100,NVIDIA A100-SXM4-40GB,mea,8192,64,607584.0,999.4962941928615,607520.0,605888.0,609696.0,1.0,kernel_table,128.0,1.0,1.0,32.0,4.0,1.0,128.0,0.0,18944.0,62914560.0,5313664.0,20971520.0,1492896.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,1024,128,26131.15,119.01935932753477,26112.0,25952.0,26400.0,1.0,kernel_table,16.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,15728640.0,356832.0,5242880.0,102656.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,1024,128,12918.4,64.91970749358495,12912.0,12800.0,13088.0,2.0,kernel_table,16.0,8.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,15728640.0,355614.0,5242880.0,101088.0
