GpuName,SeqLen,HeadDim,Run,Range,Action,dram__cycles_active.avg,gpu__time_duration.sum,lts__cycles_active.avg,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg,sm__pipe_aluheavy_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg
a100-sxm4-40gb,2048,64,0,0,flash_fwd_splitkv_combine_kernel,1681.9,10496.0,4631.5875,8281.25,11299.75925925926,619264.0,168.2962962962963,5352.2962962962965,3792.5925925925926,0.0,156.44444444444446,156.44444444444446,163840.0,778240.0,49152.0,0.0,289024.0,204800.0,18176.0,8448.0,7.300057195581027,44544.0,13.042559084346276,0.0,134.0,9.0,5.0,27.0,6085.7337962962965,308.8888888888889,70.86342592592592,356.48148148148147,1435.7476851851852,3452.608796296296,,,
a100-sxm4-40gb,2048,64,1,0,flash_fwd_splitkv_kernel,667.0,22304.0,12016.4125,16692.86111111111,24117.555555555555,1927168.0,1896.2962962962963,9604.74074074074,14298.074074074077,0.0,19418.074074074077,19418.074074074077,8454144.0,131072.0,5377718.0,0.0,518656.0,772096.0,204800.0,262144.0,10.65398802777752,138752.0,18.64875018044333,10.0,92.0,27.0,13.0,44.0,2239.2986111111118,858.8078703703703,734.113425925926,501.7523148148149,1120.9074074074074,4781.009259259259,,,
a100-sxm4-40gb,2048,64,1,0,flash_fwd_splitkv_combine_kernel,1681.7,10528.0,4616.9,8340.833333333334,11376.703703703704,619264.0,168.2962962962963,5352.2962962962965,3792.5925925925926,0.0,156.44444444444446,156.44444444444446,163840.0,778240.0,49152.0,0.0,289024.0,204800.0,18176.0,8448.0,7.250684472166968,44544.0,12.954347903936243,0.0,140.0,6.0,7.0,50.0,6189.907407407408,313.36805555555554,71.18287037037037,361.099537037037,1438.138888888889,3453.037037037037,,,
a100-sxm4-40gb,2048,64,2,0,flash_fwd_splitkv_kernel,667.0,22208.0,12273.25,16740.083333333332,24025.24074074074,1927168.0,1896.2962962962963,9604.74074074074,14298.074074074077,0.0,19418.074074074077,19418.074074074077,8454144.0,131072.0,5377718.0,0.0,518656.0,772096.0,204800.0,262144.0,10.694925013276931,138752.0,18.72085915815389,10.0,92.0,23.0,17.0,32.0,2152.5810185185187,874.8125,731.0671296296297,509.4675925925926,1124.039351851852,4780.064814814815,,,
a100-sxm4-40gb,2048,64,2,0,flash_fwd_splitkv_combine_kernel,1681.7,10464.0,4796.7375,8218.731481481482,11235.833333333334,619264.0,168.2962962962963,5352.2962962962965,3792.5925925925926,0.0,156.44444444444446,156.44444444444446,163840.0,778240.0,49152.0,0.0,289024.0,204800.0,18176.0,8448.0,7.341590645009766,44544.0,13.11676432050236,0.0,130.0,4.0,4.0,30.0,6109.150462962963,318.4699074074074,70.98379629629629,367.5115740740741,1435.1875,3455.141203703704,,,
a100-sxm4-40gb,2048,64,3,0,flash_fwd_splitkv_kernel,667.0,22624.0,12367.6125,16816.203703703704,24357.685185185182,1927168.0,1896.2962962962963,9604.74074074074,14298.074074074077,0.0,19418.074074074077,19418.074074074077,8454144.0,131072.0,5377718.0,0.0,518656.0,772096.0,204800.0,262144.0,10.548955953516836,138752.0,18.46540562526847,8.0,100.0,26.0,16.0,46.0,2081.2731481481483,857.1319444444445,730.9513888888889,506.1875,1127.9074074074074,4777.18287037037,,,
a100-sxm4-40gb,2048,64,3,0,flash_fwd_splitkv_combine_kernel,1681.7,10464.0,4780.925,8263.601851851852,11353.537037037036,619264.0,168.2962962962963,5352.2962962962965,3792.5925925925926,0.0,156.44444444444446,156.44444444444446,163840.0,778240.0,49152.0,0.0,289024.0,204800.0,18176.0,8448.0,7.265479349721331,44544.0,12.980780993359875,0.0,147.0,6.0,7.0,21.0,6072.106481481482,313.0046296296296,71.20833333333333,360.3912037037037,1434.324074074074,3453.215277777778,,,
a100-sxm4-40gb,2048,64,4,0,flash_fwd_splitkv_kernel,667.1,22272.0,11876.3125,16801.583333333332,23991.074074074077,1927168.0,1896.2962962962963,9604.74074074074,14298.074074074077,0.0,19418.074074074077,19418.074074074077,8454144.0,131072.0,5377718.0,0.0,518656.0,772096.0,204800.0,262144.0,10.710156092003354,138752.0,18.747365918497465,9.0,93.0,38.0,21.0,47.0,2207.277777777778,866.1620370370371,733.9768518518518,505.6412037037037,1119.2800925925926,4779.375,,,
a100-sxm4-40gb,2048,64,4,0,flash_fwd_splitkv_combine_kernel,1681.8,10720.0,4845.4875,8411.481481481482,11493.055555555557,619264.0,168.2962962962963,5352.2962962962965,3792.5925925925926,0.0,156.44444444444446,156.44444444444446,163840.0,778240.0,49152.0,0.0,289024.0,204800.0,18176.0,8448.0,7.1772809667673725,44544.0,12.82320241691843,0.0,131.0,4.0,4.0,31.0,6126.747685185185,311.3634259259259,70.9375,359.0578703703704,1434.337962962963,3455.3611111111118,,,
rtxpro6000blackwellserveredition,256,64,0,0,flash_fwd_kernel,1310.0,10880.0,2698.515625,179.82978723404256,20025.41489361702,33408.0,13.95744680851064,102.93617021276596,138.04255319148936,0.0,,348.59574468085106,133120.0,4096.0,102400.0,0.0,8824.0,12672.0,2624.0,4096.0,0.1151727937211702,2168.0,0.2218457502673464,0.0,1.0,0.0,0.0,0.0,16.863031914893618,0.3989361702127659,3.0824468085106385,0.0,13.001329787234043,74.92021276595744,56.7872340425532,96.9255319148936,87.32978723404256
