,GpuName,SeqLen,HeadDim,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
0,a100-sxm4-40gb,256,64,0.2532105042775677,0.001166278042305116,0.07975155038037672,,,0.001166278042305116,0.08009171480938237,,0.0,0.2532105042775677,0.2816409764905884,0.02025934298050453,0.0012440299117921238,0.028550881309341483
1,a100-sxm4-40gb,256,128,0.34135181874464204,0.0012811134147811788,0.1334924616239222,,,0.0012811134147811788,0.10054262401910131,,0.0,0.34135181874464204,0.30458314718232715,0.023363270360050564,0.0011405755690488326,0.0406273415269363
2,a100-sxm4-40gb,512,64,0.3972441506913826,0.0032397433015386476,0.24477816192481183,,,0.0032397433015386476,0.1847966381756097,,0.0,0.3972441506913826,0.3611581335704944,0.05203903313090407,0.004035239428253567,0.07367778304680922
3,a100-sxm4-40gb,512,128,0.5320749533603049,0.0032465953138398626,0.39688654844945886,,,0.0032465953138398626,0.2453006289506304,,0.0,0.5320749533603049,0.48151827669164154,0.06392151467013563,0.003800202819553139,0.10815458065042165
4,a100-sxm4-40gb,1024,64,0.580068063844032,0.0073268309332933405,0.6388453151296308,,,0.0073268309332933405,0.3924188555503113,,0.0,0.580068063844032,0.5246010233810003,0.1232173677568,0.011251269824377588,0.17113643323464317
5,a100-sxm4-40gb,1024,128,0.6242381533569463,0.006653849909362651,0.912342420750704,,,0.006653849909362651,0.38202169262957514,,0.0,0.6242381533569463,0.6063741940540508,0.11427799732669394,0.009255168593738207,0.2089548586627812
6,a100-sxm4-40gb,2048,64,0.7379989075083859,0.013631146467189796,1.2689539482935377,,,0.013631146467189796,0.5629523353961273,,0.0,0.7379989075083859,0.6723731525894695,0.2521419806428273,0.023657851817754608,0.29273107730009146
7,a100-sxm4-40gb,2048,128,0.7860898985529483,0.011354530736193115,1.79795316298089,,,0.011354530736193115,0.5832515901744967,,0.0,0.7860898985529483,0.7316119756446023,0.2125680302004734,0.018626077682884327,0.36527369048832514
8,a100-sxm4-40gb,4096,64,0.9551984187612894,0.03738475918092679,1.9637220965075097,,,0.03738475918092679,0.8405617734714587,,0.0,0.9551984187612894,0.9242095993157688,0.55734177986616,0.0,0.44418751259141037
9,a100-sxm4-40gb,4096,128,0.9687650438724724,0.025756272325602108,2.437556173752263,,,0.025756272325602108,0.7848732336309651,,0.0,0.9687650438724724,0.9361430400420051,0.39642277488895766,0.0,0.49948114554809775
10,a100-sxm4-40gb,8192,64,0.9665232766407538,0.03362384088615468,2.0709541370511495,,,0.03362384088615468,0.9284417907942487,,0.0,0.9665232766407538,0.9315128450816362,0.5679063870852935,0.04743948455628753,0.4767923203221284
11,a100-sxm4-40gb,8192,128,0.956397104304485,0.026232749589731767,2.4684744106129366,,,0.026232749589731767,0.6465621314896258,,0.0,0.956397104304485,0.9474721651339095,0.4583276713867377,0.0,0.4780343664723944
12,h10080gbhbm3,256,64,0.1684757620196081,0.0005612166006701277,0.057428827066073614,0.03255670114543723,0.024872125920636378,0.0005612166006701277,0.03855616506666347,,0.0,0.1684757620196081,0.44586363635035,0.01827900006401377,0.0008979465610722044,0.01795549669276811
13,h10080gbhbm3,256,128,0.24254677464914862,0.0005293363127102099,0.09226688010187066,0.050273796018976386,0.041993084082894275,0.0005293363127102099,0.051565381936610914,,0.0,0.24254677464914862,0.45438989406099006,0.02178075432018948,0.0008195146528103853,0.026269526916299756
14,h10080gbhbm3,512,64,0.320880531206113,0.001899060832738175,0.2650267017142087,0.13434081403344694,0.13068588768076175,0.001899060832738175,0.14072883095959238,,0.0,0.320880531206113,0.467411717281913,0.051715408377206576,0.0031385553762565328,0.07183073165402583
15,h10080gbhbm3,512,128,0.43370599014342237,0.0020511751696372423,0.34372209362252704,0.1753442657117903,0.16837782791073677,0.0020511751696372423,0.15587899510988695,,0.0,0.43370599014342237,0.5478061653651644,0.06555052334372506,0.0031738788826460584,0.08939225229970475
16,h10080gbhbm3,1024,64,0.47067565972045944,0.005287703223389486,0.5510738115481205,0.27703795253875696,0.2740358590093636,0.005287703223389486,0.254454269230253,,0.0,0.47067565972045944,0.5657200122775783,0.1324986447397521,0.009572795905295365,0.14081928375346886
17,h10080gbhbm3,1024,128,0.5080958892361433,0.00473804203360198,0.8687624697059337,0.4108780457862135,0.4578844239197203,0.00473804203360198,0.2831840777826681,,0.0,0.5080958892361433,0.624430356189001,0.13686684802837706,0.008574586635914408,0.1907496059104937
18,h10080gbhbm3,2048,64,0.6554449646092817,0.011367192261796253,1.2161768965544235,0.6113457755370678,0.6048311210173559,0.011367192261796253,0.49364214050937133,,0.0,0.6554449646092817,0.6896136895368955,0.28659509864554594,0.022014324042314525,0.28032639675628884
19,h10080gbhbm3,2048,128,0.6869282789593534,0.010214184599798736,1.8888295118505882,0.935011858583986,0.9538176532666021,0.010214184599798736,0.4755061534708274,,0.0,0.6869282789593534,0.7201387959603675,0.2581155435794759,0.019123300351856748,0.3672461380067653
